name,developer,platforms
Transistor, Supergiant Games,"PS4, PC"
The Last of Us,Naughty Dog,"PS4, PS3"
Amnesia: The Dark Descent,Frictional Games,"PC"
Watchdogs,Ubisoft,"PS4, PS3, Xbox One, Xbox 360, Wii U, PC"
